Sample in Buffer,Sample in Window,TRIGGER,design_1_i/tvalid_fir_gen_0_odata_q[15:0],design_1_i/tvalid_fir_gen_0_odata_i[15:0],user_probe_I[15:0],design_1_i/fir_compiler_2_m_axis_data_tdata[15:0],design_1_i/fir_compiler_1_m_axis_data_tdata[15:0],design_1_i/fir_compiler_0_m_axis_data_tdata[15:0],design_1_i/fir_compiler_3_m_axis_data_tdata[15:0],design_1_i/tvalid_fir_gen_0_tvalid,design_1_i/tvalid_fir_gen_1_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,HEX
25003,25003,0,-350,339,339,-117,-79,71,-35,0,0
25004,25004,0,-350,339,339,-117,-79,71,-35,0,0
25005,25005,0,-350,339,339,-117,-79,71,-35,0,0
25006,25006,0,-350,339,339,-117,-78,-121,-35,0,1
25007,25007,0,-350,339,339,-117,-78,-121,-35,0,0
25008,25008,0,-350,339,339,-117,-78,-121,-35,0,0
25009,25009,0,-350,339,339,-149,-78,-121,11,0,0
25010,25010,0,72,-199,-199,-149,-78,-121,11,1,0
25011,25011,0,72,-199,-199,-149,-103,-224,11,0,1
25012,25012,0,72,-199,-199,-149,-103,-224,11,0,0
25013,25013,0,72,-199,-199,-149,-103,-224,11,0,0
25014,25014,0,72,-199,-199,-149,-103,-224,11,0,0
25015,25015,0,72,-199,-199,-149,-127,-180,11,0,1
25016,25016,0,72,-199,-199,-149,-127,-180,11,0,0
25017,25017,0,72,-199,-199,-149,-127,-180,11,0,0
25018,25018,0,72,-199,-199,-56,-127,-180,46,0,0
25019,25019,0,131,-230,-230,-56,-127,-180,46,1,0
25020,25020,0,131,-230,-230,-56,-124,-42,46,0,1
25021,25021,0,131,-230,-230,-56,-124,-42,46,0,0
25022,25022,0,131,-230,-230,-56,-124,-42,46,0,0
25023,25023,0,131,-230,-230,-56,-124,-42,46,0,0
25024,25024,0,131,-230,-230,-56,-89,72,46,0,1
